Cn Code,Nutrient code,Nutrient value,Per unit,Value type code,Source code,Date added,Last modified
1001,203,0.85,100g,1,1,01/31/1994,11/30/2006
1001,204,81.11,100g,1,1,01/31/1994,11/30/2006
1001,205,0.06,100g,3,1,01/31/1994,11/30/2006
1001,207,2.11,100g,1,1,01/31/1994,11/30/2006
1001,208,717,100g,3,1,01/31/1994,11/30/2006
1001,255,16.17,100g,1,1,01/31/1994,02/13/2019
1001,269,0.06,100g,3,1,12/23/2013,12/23/2013
1001,291,0,100g,3,1,01/31/1994,11/30/2006
1001,301,24,100g,1,1,01/31/1994,11/30/2006
1001,303,0.02,100g,1,1,01/31/1994,11/30/2006
1001,306,24,100g,1,1,05/02/2017,05/02/2017
1001,307,643,100g,3,1,01/31/1994,12/26/2013
1001,320,684,100g,2,1,12/12/2024,1/8/2010
1001,328,0,100g,4,1,05/02/2017,05/02/2017
1001,401,0,100g,1,1,01/31/1994,11/30/2006
1001,539,0,100g,4,4,04/01/2022,04/01/2022
1001,601,215,100g,1,1,01/31/1994,11/30/2006
1001,605,3.278,100g,,1,01/31/1994,03/09/2016
1001,606,51.368,100g,3,1,01/31/1994,06/19/2015
1002,203,0.49,100g,1,1,01/31/1994,02/06/2016
1002,204,78.3,100g,1,1,01/31/1994,03/09/2016
1002,205,0,100g,3,1,01/31/1994,02/13/2019
1002,207,1.62,100g,1,1,01/31/1994,02/06/2016
1002,208,731,100g,,1,01/31/1994,02/13/2019
1002,255,16.72,100g,1,1,01/31/1994,02/06/2016
1002,269,0.06,100g,3,1,12/23/2013,12/23/2013
1002,291,0,100g,4,1,01/31/1994,11/27/2007
1002,301,23,100g,1,1,01/31/1994,03/09/2016
1002,303,0.05,100g,1,1,01/31/1994,02/06/2016
1002,306,41,100g,1,1,05/02/2017,05/02/2017
1002,307,583,100g,1,1,01/31/1994,02/06/2016
1002,320,683,100g,1,1,12/12/2024,1/2/2015
1002,328,0,100g,1,1,05/02/2017,05/02/2017
1002,401,0,100g,1,1,01/31/1994,11/27/2007
1002,539,0,100g,4,4,04/01/2022,04/01/2022
1002,601,225,100g,1,1,01/31/1994,03/09/2016
1002,605,2.669,100g,,1,01/31/1994,03/09/2016
1002,606,45.39,100g,3,1,01/31/1994,02/06/2016
1003,203,0.28,100g,1,1,12/23/2013,12/23/2013
1003,204,99.48,100g,1,1,12/23/2013,12/23/2013
1003,205,0,100g,1,1,12/23/2013,12/23/2013
1003,207,0,100g,1,1,12/23/2013,12/23/2013
1003,208,876,100g,3,1,12/23/2013,12/23/2013
1003,255,0.24,100g,1,1,12/23/2013,12/23/2013
1003,269,0,100g,3,1,12/23/2013,12/23/2013
1003,291,0,100g,3,1,12/23/2013,12/23/2013
1003,301,4,100g,3,1,12/23/2013,12/23/2013
1003,303,0,100g,3,1,12/23/2013,12/23/2013
1003,306,5,100g,3,1,05/02/2017,05/02/2017
1003,307,2,100g,3,1,12/23/2013,12/23/2013
1003,320,840,100g,2,1,12/12/2024,1/2/2009
1003,328,0,100g,1,1,05/02/2017,05/02/2017
1003,401,0,100g,1,1,12/23/2013,12/23/2013
1003,539,0,100g,4,4,04/01/2022,04/01/2022
1003,601,256,100g,1,1,12/23/2013,12/23/2013
1003,605,,100g,,1,12/23/2013,12/23/2013
1003,606,61.924,100g,1,1,12/23/2013,06/19/2015
1004,203,21.4,100g,1,1,11/14/1994,11/27/2007
1004,204,28.74,100g,1,1,11/14/1994,11/27/2007
1004,205,2.34,100g,3,1,11/14/1994,11/27/2007
1004,207,5.11,100g,1,1,11/14/1994,11/27/2007
1004,208,353,100g,3,1,11/14/1994,11/27/2007
1004,255,42.41,100g,1,1,11/14/1994,11/27/2007
1004,269,0.5,100g,3,1,12/23/2013,12/23/2013
1004,291,0,100g,3,1,11/14/1994,11/27/2007
1004,301,528,100g,1,1,11/14/1994,11/27/2007
1004,303,0.31,100g,1,1,11/14/1994,11/27/2007
1004,306,256,100g,1,1,05/02/2017,05/02/2017
1004,307,1146,100g,3,1,11/14/1994,12/26/2013
1004,320,198,100g,2,1,12/12/2024,1/2/2009
1004,328,0.5,100g,1,1,05/02/2017,05/02/2017
1004,401,0,100g,1,1,11/14/1994,11/27/2007
1004,539,0,100g,4,4,04/01/2022,04/01/2022
1004,601,75,100g,1,1,11/14/1994,11/27/2007
1004,605,,100g,,1,09/20/1994,11/30/2006
1004,606,18.669,100g,1,1,11/14/1994,11/27/2007
1005,203,23.24,100g,1,1,12/23/2013,12/23/2013
1005,204,29.68,100g,1,1,12/23/2013,12/23/2013
1005,205,2.79,100g,3,1,12/23/2013,12/23/2013
1005,207,3.18,100g,1,1,12/23/2013,12/23/2013
1005,208,371,100g,3,1,12/23/2013,12/23/2013
1005,255,41.11,100g,1,1,12/23/2013,12/23/2013
1005,269,0.51,100g,3,1,12/23/2013,12/23/2013
1005,291,0,100g,3,1,12/23/2013,12/23/2013
1005,301,674,100g,1,1,12/23/2013,12/23/2013
1005,303,0.43,100g,1,1,12/23/2013,12/23/2013
1005,306,136,100g,1,1,05/02/2017,05/02/2017
1005,307,560,100g,1,1,12/23/2013,12/23/2013
1005,320,292,100g,2,1,12/12/2024,1/2/2009
1005,328,0.5,100g,1,1,05/02/2017,05/02/2017
1005,401,0,100g,1,1,12/23/2013,12/23/2013
1005,539,0,100g,4,4,04/01/2022,04/01/2022
1005,601,94,100g,1,1,12/23/2013,12/23/2013
1005,605,,100g,,1,12/23/2013,12/23/2013
1005,606,18.764,100g,1,1,12/23/2013,06/19/2015
1006,203,20.75,100g,1,1,12/23/2013,12/23/2013
1006,204,27.68,100g,1,1,12/23/2013,12/23/2013
1006,205,0.45,100g,3,1,12/23/2013,12/23/2013
1006,207,2.7,100g,1,1,12/23/2013,12/23/2013
1006,208,334,100g,3,1,12/23/2013,12/23/2013
1006,255,48.42,100g,1,1,12/23/2013,12/23/2013
1006,269,0.45,100g,3,1,12/23/2013,12/23/2013
