Food category code,Descriptor,Abbreviated descriptor,Cn code,Gtin,Product code,Brand owner name,Brand name,FNS Material Number,Source code,Date added,Last modified,Discontinued date,Form of food,Fdc id,Gpc product code
1,"Butter, salted","BUTTER,WITH SALT",1001,,,,,,1,01/31/1994,01/04/2010,,,,
1,"Butter, whipped, with salt","BUTTER,WHIPPED,W/ SALT",1002,,,,,,1,01/31/1994,02/13/2019,,,,
1,"Butter oil, anhydrous","BUTTER OIL,ANHYDROUS",1003,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, blue","CHEESE,BLUE",1004,,,,,,1,09/20/1994,11/30/2006,,,,
1,"Cheese, brick","CHEESE,BRICK",1005,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, brie","CHEESE,BRIE",1006,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, camembert","CHEESE,CAMEMBERT",1007,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, caraway","CHEESE,CARAWAY",1008,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)","CHEESE,CHEDDAR",1009,,,,,,1,01/31/1994,02/13/2019,,,,
1,"Cheese, cheshire","CHEESE,CHESHIRE",1010,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, colby","CHEESE,COLBY",1011,,,,,,1,09/20/1994,11/30/2006,,,,
1,"Cheese, cottage, creamed, large or small curd","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",1012,,,,,,1,01/31/1994,06/15/2013,,,,
1,"Cheese, cottage, creamed, with fruit","CHEESE,COTTAGE,CRMD,W/FRUIT",1013,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd","CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",1014,,,,,,1,06/23/1995,11/30/2006,,,,
1,"Cheese, cottage, lowfat, 2% milkfat","CHEESE,COTTAGE,LOWFAT,2% MILKFAT",1015,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cheese, cottage, lowfat, 1% milkfat","CHEESE,COTTAGE,LOWFAT,1% MILKFAT",1016,,,,,,1,01/31/1994,06/15/2013,,,,
1,"Cheese, cream","CHEESE,CREAM",1017,,,,,,1,01/31/1994,06/15/2013,,,,
1,"Cheese, edam","CHEESE,EDAM",1018,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, feta","CHEESE,FETA",1019,,,,,,1,09/30/1996,06/15/2013,,,,
1,"Cheese, fontina","CHEESE,FONTINA",1020,,,,,,1,08/29/1997,11/30/2006,,,,
1,"Cheese, gjetost","CHEESE,GJETOST",1021,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, gouda","CHEESE,GOUDA",1022,,,,,,1,09/30/1996,11/30/2006,,,,
1,"Cheese, gruyere","CHEESE,GRUYERE",1023,,,,,,1,08/29/1997,11/30/2006,,,,
1,"Cheese, limburger","CHEESE,LIMBURGER",1024,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, monterey","CHEESE,MONTEREY",1025,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cheese, mozzarella, whole milk","CHEESE,MOZZARELLA,WHL MILK",1026,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cheese, mozzarella, whole milk, low moisture","CHEESE,MOZZARELLA,WHL MILK,LO MOIST",1027,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cheese, mozzarella, part skim milk","CHEESE,MOZZARELLA,PART SKIM MILK",1028,,,,,,1,01/31/1994,01/04/2010,,,,
1,"Cheese, mozzarella, low moisture, part-skim","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",1029,,,,,,1,01/31/1994,01/07/2015,,,,
1,"Cheese, muenster","CHEESE,MUENSTER",1030,,,,,,1,09/20/1994,11/30/2006,,,,
1,"Cheese, neufchatel","CHEESE,NEUFCHATEL",1031,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, parmesan, grated","CHEESE,PARMESAN,GRATED",1032,,,,,,1,09/20/1994,11/30/2006,,,,
1,"Cheese, parmesan, hard","CHEESE,PARMESAN,HARD",1033,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, port de salut","CHEESE,PORT DE SALUT",1034,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, provolone","CHEESE,PROVOLONE",1035,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cheese, ricotta, whole milk","CHEESE,RICOTTA,WHOLE MILK",1036,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cheese, ricotta, part skim milk","CHEESE,RICOTTA,PART SKIM MILK",1037,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cheese, romano","CHEESE,ROMANO",1038,,,,,,1,09/20/1994,11/30/2006,,,,
1,"Cheese, roquefort","CHEESE,ROQUEFORT",1039,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, swiss","CHEESE,SWISS",1040,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cheese, tilsit","CHEESE,TILSIT",1041,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, pasteurized process, American, fortified with vitamin D","CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",1042,,,,,,1,01/31/1994,06/15/2013,,,,
1,"Cheese, pasteurized process, pimento","CHEESE,PAST PROCESS,PIMENTO",1043,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, pasteurized process, swiss","CHEESE,PAST PROCESS,SWISS",1044,,,,,,1,01/31/1994,03/02/2012,,,,
1,"Cheese food, cold pack, American","CHEESE FD,COLD PK,AMERICAN",1045,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese food, pasteurized process, American, vitamin D fortified","CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",1046,,,,,,1,01/31/1994,03/02/2012,,,,
1,"Cheese food, pasteurized process, swiss","CHEESE FD,PAST PROCESS,SWISS",1047,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cheese spread, pasteurized process, American","CHEESE SPRD,PAST PROCESS,AMERICAN",1048,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cream, fluid, half and half","CREAM,FLUID,HALF AND HALF",1049,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cream, fluid, light (coffee cream or table cream)","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",1050,,,,,,1,09/20/1994,11/30/2006,,,,
1,"Cream, fluid, light whipping","CREAM,FLUID,LT WHIPPING",1052,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cream, fluid, heavy whipping","CREAM,FLUID,HVY WHIPPING",1053,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cream, whipped, cream topping, pressurized","CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",1054,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Cream, sour, reduced fat, cultured","CREAM,SOUR,RED FAT,CULTURED",1055,,,,,,1,06/29/1995,11/30/2006,,,,
1,"Cream, sour, cultured","CREAM,SOUR,CULTURED",1056,,,,,,1,01/31/1994,06/15/2013,,,,
1,Eggnog,EGGNOG,1057,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Sour dressing, non-butterfat, cultured, filled cream-type","SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",1058,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Milk, filled, fluid, with blend of hydrogenated vegetable oils","MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",1059,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Milk, filled, fluid, with lauric acid oil","MILK,FILLED,FLUID,W/LAURIC ACID OIL",1060,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cheese, American, nonfat or fat free","CHEESE,AMERICAN,NONFAT OR FAT FREE",1061,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein","CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",1067,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cream substitute, liquid, with lauric acid oil and sodium caseinate","CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",1068,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Cream substitute, powdered","CREAM SUBSTITUTE,POWDERED",1069,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Dessert topping, powdered","DESSERT TOPPING,POWDERED",1070,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk","DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",1071,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Dessert topping, pressurized","DESSERT TOPPING,PRESSURIZED",1072,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Dessert topping, semi solid, frozen","DESSERT TOPPING,SEMI SOLID,FRZ",1073,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Sour cream, imitation, cultured","SOUR CRM,IMITN,CULTURED",1074,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Milk substitutes, fluid, with lauric acid oil","MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",1076,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Milk, whole, 3.25% milkfat, with added vitamin D","MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",1077,,,,,,1,01/31/1994,01/07/2015,,,,
1,"Milk, producer, fluid, 3.7% milkfat","MILK,PRODUCER,FLUID,3.7% MILKFAT",1078,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",1079,,,,,,1,01/31/1994,01/07/2015,,,,
1,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",1080,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D","MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",1081,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",1082,,,,,,1,01/31/1994,01/07/2015,,,,
1,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",1083,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D","MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",1084,,,,,,1,09/30/1996,01/07/2015,,,,
1,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",1085,,,,,,1,01/31/1994,01/07/2015,,,,
1,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)","MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",1086,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)","MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",1087,,,,,,1,09/30/1996,01/07/2015,,,,
1,"Milk, buttermilk, fluid, cultured, lowfat","MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",1088,,,,,,1,01/31/1994,06/15/2013,,,,
1,"Milk, low sodium, fluid","MILK,LO NA,FLUID",1089,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Milk, dry, whole, with added vitamin D","MILK,DRY,WHL,W/ ADDED VITAMIN D",1090,,,,,,1,01/31/1994,01/07/2015,,,,
1,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D","MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",1091,,,,,,1,01/31/1994,01/07/2015,,,,
