Gpc code,Gpc description,Date added,Last modified
50101800,Nuts/Seeds - Prepared/Processed,04/01/2022,04/01/2022
50101900,Fruit/Nuts/Seeds Combination,04/01/2022,04/01/2022
50102000,Fruit - Prepared/Processed,04/01/2022,04/01/2022
50102100,Vegetables - Prepared/Processed,04/01/2022,04/01/2022
50102200,Fruits/Vegetables/Nuts/Seeds Variety Packs,04/01/2022,04/01/2022
50121500,Fish - Unprepared/Unprocessed,04/01/2022,04/01/2022
50121700,Shellfish Unprepared/Unprocessed,04/01/2022,04/01/2022
50121800,Aquatic Plants Unprepared/Unprocessed,04/01/2022,04/01/2022
50121900,Fish - Prepared/Processed,04/01/2022,04/01/2022
50122000,Aquatic Invertebrates - Prepared/Processed,04/01/2022,04/01/2022
50122100,Shellfish Prepared/Processed,04/01/2022,04/01/2022
50122200,Aquatic Plants Prepared/Processed,04/01/2022,04/01/2022
50122300,Aquatic Invertebrates - Unprepared/Unprocessed,04/01/2022,04/01/2022
50122400,Seafood Variety Packs,04/01/2022,04/01/2022
50122500,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,04/01/2022,04/01/2022
50131700,Milk/Milk Substitutes,04/01/2022,04/01/2022
50131800,Cheese/Cheese Substitutes,04/01/2022,04/01/2022
50131900,Butter/Butter Substitutes,04/01/2022,04/01/2022
50132000,Cream/Cream Substitutes,04/01/2022,04/01/2022
50132100,Yogurt/Yogurt Substitutes,04/01/2022,04/01/2022
50132200,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs,04/01/2022,04/01/2022
50132300,Eggs/Eggs Extracts (Industrial Process),04/01/2022,04/01/2022
50132500,Eggs/Eggs Substitutes,04/01/2022,04/01/2022
50132600,Dairy Derivatives/By Products,04/01/2022,04/01/2022
50151500,Oils Edible,04/01/2022,04/01/2022
50151600,Fats Edible,04/01/2022,04/01/2022
50151700,Oils/Fats Edible Variety Packs,04/01/2022,04/01/2022
50161500,Sugars/Sugar Substitute Products,04/01/2022,04/01/2022
50161800,Confectionery Products,04/01/2022,04/01/2022
50161900,Confectionery/Sugar Sweetening Products Variety Packs,04/01/2022,04/01/2022
50171500,Herbs/Spices/Extracts,04/01/2022,04/01/2022
50171700,Vinegars/Cooking Wines,04/01/2022,04/01/2022
50171800,Sauces/Spreads/Dips/Condiments,04/01/2022,04/01/2022
50171900,Pickles/Relishes/Chutneys/Olives,04/01/2022,04/01/2022
50172000,Seasonings/Preservatives/Extracts Variety Packs,04/01/2022,04/01/2022
50172100,Casings for Food Items,04/01/2022,04/01/2022
50181700,Baking/Cooking Mixes/Supplies,04/01/2022,04/01/2022
50181900,Bread,04/01/2022,04/01/2022
50182000,Sweet Bakery Products,04/01/2022,04/01/2022
50182100,Biscuits/Cookies,04/01/2022,04/01/2022
50182200,Savoury Bakery Products,04/01/2022,04/01/2022
