Food category code,Category description,Date added,Last modified
1,Dairy and Egg Products,1997-10-29,2012-04-09
2,Spices and Herbs,1997-10-29,2012-04-09
3,Baby Foods,1997-10-29,2012-04-09
4,Fats and Oils,1997-10-29,2012-04-09
5,Poultry Products,1997-10-29,2012-04-09
6,"Soups, Sauces, and Gravies",1997-10-29,2012-04-09
7,Sausages and Luncheon Meats,1997-10-29,2012-04-09
8,Breakfast Cereals,1997-10-29,2012-04-09
9,Fruits and Fruit Juices,1997-10-29,2012-04-09
10,Pork Products,1997-10-29,2012-04-09
11,Vegetables and Vegetable Products,1997-10-29,2012-04-09
12,Nut and Seed Products,1997-10-29,2012-04-09
13,Beef Products,1997-10-29,2012-04-09
14,Beverages,1997-10-29,2012-04-09
15,Finfish and Shellfish Products,1997-10-29,2012-04-09
16,Legumes and Legume Products,1997-10-29,2012-04-09
17,"Lamb, Veal, and Game Products",1997-10-29,2012-04-09
18,Baked Products,1997-10-29,2012-04-09
19,Sweets,1997-10-29,2012-04-09
20,Cereal Grains and Pasta,1997-10-29,2012-04-09
21,Fast Foods,1997-10-29,2012-04-09
22,"Meals, Entrees, and Side Dishes",1997-10-29,2012-12-26
25,Snacks,1997-10-29,2012-04-09
35,American Indian/Alaska Native Foods,1997-10-29,2016-03-22
36,Restaurant Foods,1997-10-29,2012-04-09
