Gpc code,Gpc description,Date added,Last modified
50101800,Nuts/Seeds - Prepared/Processed,2022-04-01,2022-04-01
50101900,Fruit/Nuts/Seeds Combination,2022-04-01,2022-04-01
50102000,Fruit - Prepared/Processed,2022-04-01,2022-04-01
50102100,Vegetables - Prepared/Processed,2022-04-01,2022-04-01
50102200,Fruits/Vegetables/Nuts/Seeds Variety Packs,2022-04-01,2022-04-01
50121500,Fish - Unprepared/Unprocessed,2022-04-01,2022-04-01
50121700,Shellfish Unprepared/Unprocessed,2022-04-01,2022-04-01
50121800,Aquatic Plants Unprepared/Unprocessed,2022-04-01,2022-04-01
50121900,Fish - Prepared/Processed,2022-04-01,2022-04-01
50122000,Aquatic Invertebrates - Prepared/Processed,2022-04-01,2022-04-01
50122100,Shellfish Prepared/Processed,2022-04-01,2022-04-01
50122200,Aquatic Plants Prepared/Processed,2022-04-01,2022-04-01
50122300,Aquatic Invertebrates - Unprepared/Unprocessed,2022-04-01,2022-04-01
50122400,Seafood Variety Packs,2022-04-01,2022-04-01
50122500,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,2022-04-01,2022-04-01
50131700,Milk/Milk Substitutes,2022-04-01,2022-04-01
50131800,Cheese/Cheese Substitutes,2022-04-01,2022-04-01
50131900,Butter/Butter Substitutes,2022-04-01,2022-04-01
50132000,Cream/Cream Substitutes,2022-04-01,2022-04-01
50132100,Yogurt/Yogurt Substitutes,2022-04-01,2022-04-01
50132200,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs,2022-04-01,2022-04-01
50132300,Eggs/Eggs Extracts (Industrial Process),2022-04-01,2022-04-01
50132500,Eggs/Eggs Substitutes,2022-04-01,2022-04-01
50132600,Dairy Derivatives/By Products,2022-04-01,2022-04-01
50151500,Oils Edible,2022-04-01,2022-04-01
50151600,Fats Edible,2022-04-01,2022-04-01
50151700,Oils/Fats Edible Variety Packs,2022-04-01,2022-04-01
50161500,Sugars/Sugar Substitute Products,2022-04-01,2022-04-01
50161800,Confectionery Products,2022-04-01,2022-04-01
50161900,Confectionery/Sugar Sweetening Products Variety Packs,2022-04-01,2022-04-01
50171500,Herbs/Spices/Extracts,2022-04-01,2022-04-01
50171700,Vinegars/Cooking Wines,2022-04-01,2022-04-01
50171800,Sauces/Spreads/Dips/Condiments,2022-04-01,2022-04-01
50171900,Pickles/Relishes/Chutneys/Olives,2022-04-01,2022-04-01
50172000,Seasonings/Preservatives/Extracts Variety Packs,2022-04-01,2022-04-01
50172100,Casings for Food Items,2022-04-01,2022-04-01
50181700,Baking/Cooking Mixes/Supplies,2022-04-01,2022-04-01
50181900,Bread,2022-04-01,2022-04-01
50182000,Sweet Bakery Products,2022-04-01,2022-04-01
50182100,Biscuits/Cookies,2022-04-01,2022-04-01
50182200,Savoury Bakery Products,2022-04-01,2022-04-01
50182300,Bread/Bakery Products Variety Packs,2022-04-01,2022-04-01
50191500,Prepared Soups,2022-04-01,2022-04-01
50192100,Snacks,2022-04-01,2022-04-01
50192300,Desserts/Dessert Sauces/Toppings,2022-04-01,2022-04-01
50192400,Sweet Spreads,2022-04-01,2022-04-01
50192500,Sandwiches/Filled Rolls/Wraps,2022-04-01,2022-04-01
50192900,Pasta/Noodles,2022-04-01,2022-04-01
