Cn code,Sequence num,Amount,Measure description,Unit amount,Type of unit,Source code,Date added,Last modified
1001,1,1,"pat (1"" sq, 1/3"" high)",5,g,1,1998-01-15,2013-12-26
1001,2,1,TBSP,14.2,g,1,1994-01-31,2006-11-30
1001,3,1,cup,227,g,1,2002-09-06,2013-12-26
1001,4,1,stick,113,g,1,2002-09-06,2006-11-30
1002,1,1,"pat (1"" sq, 1/3"" high)",3.8,g,1,1997-08-29,2013-12-26
1002,2,1,TBSP,9.4,g,1,1998-01-15,2006-11-30
1002,3,1,cup,151,g,1,1995-06-19,2013-12-26
1002,4,1,stick,76,g,1,2002-09-06,2006-11-30
1003,1,1,tbsp,12.8,g,1,2013-12-23,2013-12-23
1003,2,1,cup,205,g,1,2013-12-23,2013-12-23
1004,1,1,oz,28.35,g,1,1994-11-02,2006-11-30
1004,2,1,cubic inch,17,g,1,1997-08-29,2006-11-30
1004,3,1,"cup, crumbled, not packed",135,g,1,2002-09-06,2006-11-30
1005,1,1,"cup, diced",132,g,1,2013-12-23,2013-12-23
1005,2,1,"cup, shredded",113,g,1,2013-12-23,2013-12-23
1005,3,1,oz,28.35,g,1,2013-12-23,2013-12-23
1005,4,1,cubic inch,17,g,1,2013-12-23,2013-12-23
1005,5,1,slice (1 oz),28,g,1,2013-12-23,2013-12-23
1006,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1006,2,1,"cup, sliced",144,g,1,2013-12-23,2013-12-23
1006,3,1,"cup, melted",240,g,1,2013-12-23,2013-12-23
1006,4,1,cubic inch,17,g,1,2013-12-23,2013-12-23
1006,5,1,package (4.5 oz),128,g,1,2013-12-23,2013-12-23
1007,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1007,2,1,cup,246,g,1,2013-12-23,2013-12-23
1007,3,1,cubic inch,17,g,1,2013-12-23,2013-12-23
1007,4,1,wedge (1.33 oz),38,g,1,2013-12-23,2013-12-23
1008,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1009,1,1,"cup, diced",132,g,1,1994-09-29,2006-11-30
1009,2,1,"cup, melted",244,g,1,1999-03-22,2006-11-30
1009,3,1,"cup, shredded",113,g,1,2002-09-06,2006-11-30
1009,4,1,oz,28.35,g,1,2002-09-06,2006-11-30
1009,5,1,cubic inch,17,g,1,2002-09-06,2006-11-30
1009,6,1,slice (1 oz),28,g,1,2002-09-06,2006-11-30
1010,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1011,1,1,"cup, diced",132,g,1,1994-11-02,2006-11-30
